Date,Open,High,Low,Close,Volume
14-Nov-16,107.71,107.81,104.08,105.71,50872548
11-Nov-16,107.12,108.87,106.55,108.43,34143898
10-Nov-16,111.09,111.09,105.83,107.79,57134541
9-Nov-16,109.88,111.32,108.05,110.88,59176361
8-Nov-16,110.31,111.72,109.7,111.06,24254179
7-Nov-16,110.08,110.51,109.46,110.41,32560000
4-Nov-16,108.53,110.25,108.11,108.84,30836997
3-Nov-16,110.98,111.46,109.55,109.83,26932602
2-Nov-16,111.4,112.35,111.23,111.59,28331709
1-Nov-16,113.46,113.77,110.53,111.49,43825812
31-Oct-16,113.65,114.23,113.2,113.54,26419398
28-Oct-16,113.87,115.21,113.45,113.72,37861662
27-Oct-16,115.39,115.86,114.1,114.48,34562045
26-Oct-16,114.31,115.7,113.31,115.59,66134219
25-Oct-16,117.95,118.36,117.31,118.25,48128970
24-Oct-16,117.1,117.74,117,117.65,23538673
21-Oct-16,116.81,116.91,116.28,116.6,23192665
20-Oct-16,116.86,117.38,116.33,117.06,24125801
19-Oct-16,117.25,117.76,113.8,117.12,20034594
18-Oct-16,118.18,118.21,117.45,117.47,24553478
17-Oct-16,117.33,117.84,116.78,117.55,23624896
14-Oct-16,117.88,118.17,117.13,117.63,35652191
13-Oct-16,116.79,117.44,115.72,116.98,35192406
12-Oct-16,117.35,117.98,116.75,117.34,37586787
11-Oct-16,117.7,118.69,116.2,116.3,64041043
10-Oct-16,115.02,116.75,114.72,116.05,36235956
7-Oct-16,114.31,114.56,113.51,114.06,24358443
6-Oct-16,113.7,114.34,113.13,113.89,28779313
5-Oct-16,113.4,113.66,112.69,113.05,21453089
4-Oct-16,113.06,114.31,112.63,113,29736835
3-Oct-16,112.71,113.05,112.28,112.52,21701760
30-Sep-16,112.46,113.37,111.8,113.05,36379106
29-Sep-16,113.16,113.8,111.8,112.18,35886990
28-Sep-16,113.69,114.64,113.43,113.95,29641085
27-Sep-16,113,113.18,112.34,113.09,24607412
26-Sep-16,111.64,113.39,111.55,112.88,29869442
23-Sep-16,114.42,114.79,111.55,112.71,52481151
22-Sep-16,114.35,114.94,114,114.62,31073984
21-Sep-16,113.85,113.99,112.44,113.55,36003185
